nome,ano,escola,nota_semestre_1,nota_semestre_2,faltas,nota_exame,monitoria
Theo Santos,3,Gabriel Gomes,1.98,9.11,28,4.34,TRUE
Bernardo Soares,3,Pedro II,8.26,4.47,3,7.22,TRUE
Laura Maia,1,Pedro II,5.97,1.39,16,03.04,TRUE
Laura Santos,3,Pedro II,5.3,1.27,1,1.99,FALSE
Laura Ribeiro,1,Pedro II,8.31,3.24,27,7.15,TRUE
Gabriel Gomes,2,Francisto Chagas,8.75,6.93,20,0,TRUE
Arthur Alves,1,Gabriel Gomes,2.86,01.01,29,1.56,FALSE
Samuel Oliveira,3,Gabriel Gomes,2.12,4.3,8,4.37,FALSE
Helena Gomes,2,Pedro I,6.65,7.1,6,1.46,FALSE
Samuel Gomes,3,Antonio Prado,1.77,0.17,20,01.02,TRUE
Sophia Gomes,3,Gabriel Gomes,4.62,02.01,13,7.83,FALSE
Miguel Ribeiro,3,Pedro I,6.75,8.94,30,0,FALSE
Alice Alves,1,Pedro II,4.18,5.18,30,3.27,TRUE
Samuel Oliveira,2,Gabriel Gomes,04.08,9.42,13,7.43,FALSE
Heitor Soares,1,Carlos Santos,1.3,0.04,10,7.76,TRUE
Heloisa Ribeiro,2,Gabriel Gomes,3.55,06.06,11,0.95,TRUE
Gabriel Rodrigues,1,Gabriel Gomes,4.13,5.64,28,5.4,FALSE
Miguel Souza,2,Carlos Santos,7.47,1.95,10,03.01,FALSE
Valentina Gomes,3,Pedro II,04.08,2.1,16,4.67,TRUE
Samuel Martins,2,Pedro I,0.0,05.01,16,2.14,FALSE
Theo Soares,1,Carlos Santos,6.85,7.39,30,0,FALSE
Bernardo Rodrigues,1,Gabriel Gomes,0.89,8.51,22,1.85,TRUE
Valentina Alves,3,Antonio Prado,0.82,8.73,12,0.86,TRUE
Helena Silva,1,Francisto Chagas,6.45,0.74,24,8.78,TRUE
Heloisa Souza,3,Pedro I,9.15,1.62,21,6.55,FALSE
Sophia Souza,3,Francisto Chagas,3.65,9.78,3,0.33,FALSE
Gabriel Santos,1,Gabriel Gomes,1.2,2.42,29,7.17,TRUE
Gael Gomes,2,Carlos Santos,1.69,0.92,2,1.36,TRUE
Laura Alves,3,Pedro I,6.53,5.32,17,05.08,FALSE
Heitor Rodrigues,3,Pedro I,2.31,8.97,5,5.98,TRUE
Alice Souza,3,Francisto Chagas,1.16,9.76,1,02.02,FALSE
Miguel Silva,3,Pedro I,4.56,6.86,19,4.7,TRUE
Heloisa Alves,2,Gabriel Gomes,7.39,2.23,23,5.23,FALSE
Theo Ferreira,1,Carlos Santos,7.48,7.87,13,0,FALSE
Gabriel Rodrigues,2,Pedro I,1.2,09.04,22,8.81,TRUE
Davi Rodrigues,2,Pedro II,6.6,05.03,25,7.61,FALSE
Sophia Maia,2,Pedro I,7.18,04.07,3,8.4,FALSE
Heitor Pereira,3,Carlos Santos,2.78,6.15,2,3.82,TRUE
Helena Santos,1,Gabriel Gomes,0.52,6.79,16,4.46,TRUE
Gabriel Maia,2,Pedro II,8.97,2.63,25,0.04,TRUE
Davi Ferreira,2,Carlos Santos,5.96,5.31,0,1.55,FALSE
Maria Gomes,3,Francisto Chagas,2.57,5.67,22,9.33,TRUE
Maria Gomes,2,Francisto Chagas,3.8,0.45,16,9.37,FALSE
Laura Maia,2,Francisto Chagas,01.07,3.23,4,3.71,FALSE
Davi Oliveira,3,Antonio Prado,5.54,04.03,19,4.24,FALSE
Valentina Gomes,2,Francisto Chagas,5.3,0.68,0,06.04,FALSE
Heitor Ferreira,1,Francisto Chagas,3.7,7.85,22,0.65,FALSE
Heitor Ribeiro,2,Antonio Prado,2.87,0.31,4,1.86,TRUE
Maria Ribeiro,2,Gabriel Gomes,0.8,3.96,5,03.09,FALSE
Theo Rodrigues,1,Antonio Prado,0.96,0.97,20,4.52,TRUE
Miguel Santos,2,Francisto Chagas,4.39,2.85,21,3.43,FALSE
Sophia Ribeiro,2,Pedro I,5.66,0.98,8,1.12,FALSE
Gabriel Souza,2,Francisto Chagas,0.74,8.96,22,2.24,FALSE
Gael Alves,3,Antonio Prado,6.11,8.71,14,0,TRUE
Miguel Santos,3,Carlos Santos,6.35,6.69,14,4.28,TRUE
Laura Gomes,1,Antonio Prado,3.41,3.6,1,5.71,TRUE
Valentina Souza,1,Antonio Prado,1.31,0.85,2,2.88,TRUE
Alice Silva,2,Antonio Prado,2.48,7.17,1,2.99,TRUE
Bernardo Ferreira,2,Antonio Prado,2.67,9.14,15,3.12,FALSE
Theo Pereira,3,Francisto Chagas,7.47,9.94,0,0,FALSE
Valentina Maia,2,Carlos Santos,3.13,7.65,10,03.06,FALSE
Davi Oliveira,1,Carlos Santos,9.83,7.94,15,0,TRUE
Davi Santos,3,Gabriel Gomes,9.52,6.34,16,0,TRUE
Heloisa Ferreira,1,Francisto Chagas,1.17,3.29,27,0.39,FALSE
Laura Alves,1,Pedro II,2.74,0.64,16,6.87,FALSE
Valentina Rodrigues,2,Carlos Santos,2.55,3.26,12,9.77,TRUE
Maria Rodrigues,2,Francisto Chagas,6.84,7.67,27,0,FALSE
Miguel Santos,1,Carlos Santos,3.82,02.03,28,4.64,TRUE
Samuel Alves,1,Pedro II,02.01,4.26,12,2.64,FALSE
Heitor Rodrigues,2,Pedro I,8.38,3.93,3,4.48,TRUE
Arthur Alves,3,Antonio Prado,7.9,06.03,0,01.02,TRUE
Heitor Alves,3,Francisto Chagas,3.71,5.31,9,0.84,TRUE
Heloisa Santos,3,Carlos Santos,9.3,0.51,26,0.19,FALSE
Sophia Gomes,3,Francisto Chagas,0.21,8.6,21,03.09,TRUE
Heloisa Alves,1,Pedro II,2.96,1.85,25,5.9,FALSE
Valentina Santos,2,Francisto Chagas,6.99,7.69,21,0,FALSE
Gabriel Ribeiro,3,Gabriel Gomes,07.01,1.12,24,04.03,FALSE
Gabriel Rodrigues,1,Gabriel Gomes,3.52,5.86,10,7.65,FALSE
Helena Pereira,2,Pedro I,5.29,4.98,2,2.89,FALSE
Laura Santos,2,Antonio Prado,6.42,5.0,25,0.29,TRUE
Gabriel Martins,2,Gabriel Gomes,06.05,1.95,17,4.19,TRUE
Bernardo Silva,3,Antonio Prado,2.46,0.44,20,8.71,FALSE
Helena Santos,2,Pedro I,9.1,10.0,8,0,FALSE
Heloisa Souza,3,Pedro II,3.31,1.7,9,8.66,TRUE
Laura Ferreira,1,Pedro I,5.32,4.66,15,5.61,TRUE
Helena Silva,3,Antonio Prado,8.27,1.97,10,1.94,TRUE
Miguel Rodrigues,1,Pedro II,5.64,9.62,2,0,TRUE
Bernardo Gomes,2,Gabriel Gomes,3.62,7.79,5,1.35,TRUE
Valentina Pereira,1,Carlos Santos,5.92,06.09,20,3.88,TRUE
Heloisa Pereira,3,Francisto Chagas,0.77,3.8,1,9.96,TRUE
Gabriel Soares,3,Francisto Chagas,3.94,6.73,30,4.8,TRUE
Miguel Rodrigues,3,Carlos Santos,0.15,5.94,25,1.12,TRUE
Theo Ferreira,1,Francisto Chagas,5.47,1.19,24,7.6,FALSE
Theo Martins,3,Carlos Santos,4.5,6.57,27,5.37,TRUE
Gabriel Ribeiro,1,Pedro II,1.66,6.59,27,2.0,TRUE
Gael Ribeiro,2,Pedro I,05.05,0.37,12,5.62,FALSE
Theo Alves,3,Antonio Prado,06.03,4.53,27,5.78,TRUE
Theo Soares,3,Carlos Santos,7.17,1.51,26,9.32,FALSE
Gael Alves,1,Gabriel Gomes,0.93,1.1,25,9.63,FALSE
Davi Pereira,3,Antonio Prado,1.69,6.63,10,6.26,TRUE
Alice Soares,2,Pedro I,6.34,1.64,2,1.56,TRUE
Samuel Alves,2,Pedro I,6.17,06.01,18,5.14,TRUE
Gabriel Santos,3,Carlos Santos,9.44,7.45,17,0,FALSE
Bernardo Maia,1,Gabriel Gomes,7.52,6.14,16,4.2,FALSE
Davi Rodrigues,3,Gabriel Gomes,1.18,8.24,14,4.13,TRUE
Valentina Alves,2,Carlos Santos,9.57,6.88,25,0,TRUE
Heitor Soares,3,Francisto Chagas,8.18,6.37,29,0,TRUE
Heloisa Souza,1,Gabriel Gomes,8.12,3.57,24,9.52,TRUE
Valentina Alves,1,Antonio Prado,6.86,4.88,1,4.3,TRUE
Samuel Santos,3,Pedro II,0.12,7.25,13,9.61,FALSE
Miguel Ribeiro,1,Gabriel Gomes,9.37,0.79,15,8.18,FALSE
Davi Alves,3,Antonio Prado,6.88,2.53,5,02.09,TRUE
Heitor Ribeiro,1,Carlos Santos,2.58,0.41,21,5.64,FALSE
Miguel Ribeiro,2,Pedro I,4.25,1.91,16,04.03,FALSE
Miguel Rodrigues,2,Pedro I,2.33,1.99,20,5.98,TRUE
Gael Alves,3,Pedro II,07.05,7.98,12,0,TRUE
Maria Silva,1,Pedro I,2.53,4.69,21,8.82,FALSE
Sophia Maia,1,Francisto Chagas,5.59,1.24,28,6.29,FALSE
Laura Oliveira,3,Pedro I,6.38,3.77,0,6.19,FALSE
Samuel Rodrigues,3,Gabriel Gomes,2.35,9.94,16,5.35,TRUE
Miguel Alves,3,Pedro I,4.14,7.97,25,9.89,FALSE
Sophia Pereira,2,Pedro II,06.04,3.37,29,5.45,TRUE
Maria Santos,3,Gabriel Gomes,2.23,7.15,15,5.29,FALSE
Samuel Pereira,1,Francisto Chagas,8.87,8.97,14,0,TRUE
Theo Ferreira,1,Pedro I,07.07,1.35,17,9.39,TRUE
Davi Rodrigues,2,Antonio Prado,1.34,6.2,23,7.61,TRUE
Davi Martins,2,Francisto Chagas,5.24,6.97,2,7.19,TRUE
Heitor Soares,3,Carlos Santos,5.27,0.09,0,6.14,TRUE
Alice Ribeiro,1,Pedro I,6.39,7.93,23,0,TRUE
Arthur Ribeiro,2,Pedro I,0.57,6.58,8,0.73,FALSE
Laura Maia,3,Antonio Prado,1.23,9.67,5,4.15,FALSE
Laura Silva,1,Carlos Santos,7.85,5.42,13,9.53,TRUE
Heloisa Ribeiro,1,Antonio Prado,3.32,4.65,19,7.67,FALSE
Samuel Ribeiro,1,Gabriel Gomes,3.73,3.99,8,3.77,TRUE
Laura Maia,2,Carlos Santos,7.71,0.89,19,2.14,TRUE
Gabriel Martins,3,Antonio Prado,5.8,3.71,16,08.05,FALSE
Heloisa Pereira,2,Francisto Chagas,05.09,5.56,27,4.67,TRUE
Maria Souza,1,Pedro II,9.64,7.43,11,0,FALSE
Gabriel Rodrigues,1,Antonio Prado,7.21,4.39,8,4.29,TRUE
Heitor Ferreira,2,Gabriel Gomes,8.56,7.16,24,0,FALSE
Valentina Ribeiro,2,Pedro II,04.06,8.48,22,8.73,TRUE
Davi Soares,2,Carlos Santos,2.89,6.24,11,1.25,FALSE
Valentina Gomes,3,Gabriel Gomes,7.67,3.95,25,0.83,FALSE
Sophia Alves,1,Carlos Santos,2.15,5.33,14,9.97,FALSE
Theo Pereira,3,Pedro II,02.01,7.91,22,5.88,FALSE
Alice Soares,3,Francisto Chagas,9.88,1.64,23,0.58,TRUE
Sophia Gomes,1,Pedro I,7.88,5.68,9,09.04,FALSE
Theo Oliveira,3,Carlos Santos,8.88,4.37,26,2.58,FALSE
Valentina Martins,1,Pedro II,4.32,2.32,18,4.39,TRUE
Gael Pereira,1,Francisto Chagas,03.05,8.39,9,05.04,TRUE
Laura Alves,2,Francisto Chagas,7.39,0.63,5,2.63,TRUE
Maria Alves,2,Francisto Chagas,8.98,6.45,0,0,FALSE
Miguel Ribeiro,1,Pedro II,3.91,4.84,25,08.06,FALSE
Theo Souza,1,Pedro II,1.72,6.86,9,8.52,FALSE
Bernardo Pereira,3,Gabriel Gomes,0.69,4.43,24,9.52,FALSE
Gael Martins,3,Antonio Prado,0.19,2.99,12,5.18,TRUE
Gael Rodrigues,2,Pedro I,8.97,5.55,26,0,TRUE
Maria Oliveira,1,Francisto Chagas,7.58,9.1,20,0,TRUE
Maria Ferreira,1,Gabriel Gomes,7.88,9.11,5,0,FALSE
Gabriel Silva,1,Francisto Chagas,6.19,8.56,23,0,FALSE
Davi Pereira,3,Pedro I,3.61,1.61,15,7.64,FALSE
Davi Rodrigues,3,Pedro I,1.93,8.94,26,7.56,TRUE
Bernardo Ferreira,1,Gabriel Gomes,8.82,7.31,24,0,TRUE
Helena Oliveira,2,Pedro II,6.31,5.13,28,5.39,TRUE
Heloisa Gomes,3,Antonio Prado,5.38,8.86,6,0,FALSE
Theo Ferreira,3,Antonio Prado,0.01,7.65,23,03.07,FALSE
Valentina Maia,1,Gabriel Gomes,04.02,0.33,25,05.06,FALSE
Arthur Oliveira,1,Antonio Prado,9.78,5.76,3,0,FALSE
Bernardo Pereira,1,Francisto Chagas,5.52,4.63,25,7.26,TRUE
Bernardo Soares,1,Pedro I,08.03,0.66,17,8.4,FALSE
Davi Ribeiro,2,Gabriel Gomes,1.85,5.89,23,9.55,TRUE
Miguel Gomes,3,Carlos Santos,9.38,9.8,21,0,FALSE
Valentina Souza,1,Carlos Santos,0.66,4.23,2,4.43,TRUE
Heloisa Santos,2,Carlos Santos,5.12,4.61,26,1.16,TRUE
Valentina Alves,1,Gabriel Gomes,0.69,4.11,6,8.37,TRUE
Valentina Maia,1,Antonio Prado,4.46,8.27,16,09.09,FALSE
Gabriel Soares,2,Pedro II,0.53,5.68,21,3.86,TRUE
Sophia Souza,2,Francisto Chagas,3.53,02.08,24,2.37,TRUE
Samuel Pereira,3,Gabriel Gomes,4.3,0.04,20,6.77,FALSE
Sophia Oliveira,1,Carlos Santos,3.46,3.23,25,04.02,FALSE
Gabriel Silva,3,Carlos Santos,2.17,5.29,22,2.91,FALSE
Laura Maia,2,Francisto Chagas,2.57,1.65,1,6.45,TRUE
Miguel Ferreira,3,Pedro II,5.46,9.62,1,0,TRUE
Gabriel Oliveira,3,Antonio Prado,6.36,2.98,9,9.23,TRUE
Helena Alves,1,Gabriel Gomes,3.91,1.38,12,6.57,TRUE
Laura Souza,1,Francisto Chagas,8.76,5.88,9,0,TRUE
Gabriel Souza,1,Francisto Chagas,5.19,9.87,30,0,TRUE
Sophia Alves,3,Pedro II,0.22,1.36,21,1.24,FALSE
Valentina Martins,3,Pedro I,9.22,07.03,20,0,TRUE
Miguel Gomes,1,Antonio Prado,1.72,7.41,24,3.11,TRUE
Valentina Maia,2,Carlos Santos,9.96,8.37,29,0,FALSE
Theo Alves,3,Antonio Prado,2.93,3.72,20,8.99,TRUE
Davi Oliveira,1,Pedro II,0.79,1.87,4,3.2,TRUE
Arthur Pereira,1,Pedro II,2.24,5.7,23,07.03,FALSE
Valentina Oliveira,1,Antonio Prado,8.92,9.22,8,0,TRUE
Heitor Silva,1,Carlos Santos,7.19,6.33,3,7.7,TRUE
Bernardo Maia,3,Pedro I,2.25,5.14,28,3.71,TRUE
Sophia Alves,2,Antonio Prado,0.09,4.86,27,1.8,TRUE
Gael Santos,1,Gabriel Gomes,6.8,09.07,4,0,TRUE
Valentina Gomes,1,Antonio Prado,8.11,2.99,12,2.12,FALSE
Maria Alves,2,Antonio Prado,8.62,8.88,26,0,TRUE
Valentina Alves,1,Gabriel Gomes,2.67,6.48,4,0.7,FALSE
Arthur Santos,3,Francisto Chagas,0.52,3.77,7,7.57,FALSE
Arthur Gomes,1,Carlos Santos,9.82,4.93,24,0,FALSE
Laura Rodrigues,3,Carlos Santos,5.78,1.71,1,9.75,FALSE
Maria Gomes,1,Gabriel Gomes,8.96,8.51,15,0,TRUE
Heloisa Silva,3,Pedro II,9.9,9.81,1,0,TRUE
Arthur Alves,2,Francisto Chagas,09.06,07.01,24,0,TRUE
Valentina Soares,2,Francisto Chagas,0.43,9.53,15,7.61,FALSE
Maria Gomes,2,Carlos Santos,01.08,8.75,8,04.06,TRUE
Maria Alves,3,Pedro I,5.8,7.49,6,05.08,TRUE
Alice Silva,1,Gabriel Gomes,1.88,07.08,23,3.43,FALSE
Sophia Pereira,1,Pedro II,2.4,3.86,8,2.75,TRUE
Alice Rodrigues,1,Antonio Prado,3.6,1.39,24,3.83,FALSE
Arthur Alves,2,Antonio Prado,6.63,2.1,19,0.59,TRUE
Heitor Silva,3,Antonio Prado,1.8,6.34,5,8.55,TRUE
Sophia Ribeiro,3,Carlos Santos,7.31,6.21,27,8.48,FALSE
Helena Silva,1,Francisto Chagas,6.13,8.65,3,0,FALSE
Theo Alves,1,Antonio Prado,7.82,10.0,5,0,FALSE
Alice Santos,2,Pedro I,9.6,8.59,8,0,FALSE
Maria Ribeiro,3,Antonio Prado,6.46,5.29,15,3.45,FALSE
Valentina Silva,2,Pedro II,0.63,7.85,16,4.93,TRUE
Sophia Alves,1,Carlos Santos,9.7,5.66,21,0,TRUE
Valentina Santos,1,Carlos Santos,9.18,5.36,0,0,TRUE
Heloisa Alves,3,Francisto Chagas,07.07,5.13,16,1.66,TRUE
Theo Santos,3,Carlos Santos,03.04,02.01,4,5.16,TRUE
Bernardo Ribeiro,3,Carlos Santos,8.49,3.95,15,8.59,TRUE
Sophia Martins,1,Pedro II,3.13,1.94,8,4.36,FALSE
Laura Oliveira,1,Pedro II,0.37,2.72,29,9.12,FALSE
Heitor Maia,1,Gabriel Gomes,6.16,6.12,27,3.38,TRUE
Valentina Alves,2,Gabriel Gomes,8.31,6.56,28,0,TRUE
Valentina Oliveira,3,Antonio Prado,7.25,0.33,12,4.5,FALSE
Laura Oliveira,1,Pedro II,6.27,2.25,11,9.95,TRUE
Miguel Alves,3,Pedro I,3.36,2.85,18,02.07,FALSE
Arthur Oliveira,2,Francisto Chagas,7.74,7.87,1,0,TRUE
Maria Souza,1,Pedro II,5.28,7.49,27,3.7,FALSE
Theo Soares,1,Carlos Santos,6.77,8.57,25,0,TRUE
Miguel Alves,2,Pedro II,08.07,4.6,19,2.48,TRUE
Bernardo Martins,2,Pedro II,03.04,6.7,24,4.45,FALSE
Miguel Ribeiro,2,Gabriel Gomes,6.9,2.69,1,2.56,TRUE
Heitor Pereira,3,Pedro II,0.34,5.98,26,8.41,TRUE
Alice Rodrigues,1,Pedro I,5.26,5.88,7,0.03,FALSE
Alice Rodrigues,3,Pedro II,2.38,2.14,11,9.51,FALSE
Valentina Ribeiro,3,Gabriel Gomes,7.26,4.66,16,9.16,TRUE
Maria Ferreira,2,Pedro I,8.94,3.49,18,09.02,FALSE
Miguel Gomes,2,Pedro II,4.67,2.16,29,2.0,TRUE
Samuel Pereira,1,Gabriel Gomes,5.45,4.64,29,9.13,TRUE
Heitor Martins,1,Pedro I,8.41,08.06,0,0,TRUE
Bernardo Alves,2,Pedro I,06.09,9.95,26,0,TRUE
Samuel Souza,2,Carlos Santos,3.72,0.21,16,5.97,TRUE
Alice Maia,1,Antonio Prado,5.91,5.25,19,0.74,FALSE
Samuel Alves,2,Antonio Prado,5.31,0.58,28,08.01,TRUE
Miguel Souza,2,Carlos Santos,04.06,5.29,7,4.32,TRUE
Sophia Silva,3,Gabriel Gomes,7.26,02.08,20,4.48,FALSE
Heloisa Oliveira,1,Carlos Santos,4.11,6.82,7,8.66,TRUE
Sophia Santos,3,Carlos Santos,8.35,7.95,26,0,TRUE
Miguel Maia,2,Carlos Santos,05.08,4.77,21,1.99,TRUE
Valentina Ribeiro,3,Antonio Prado,7.97,0.42,30,8.98,TRUE
Valentina Maia,3,Pedro I,7.78,4.55,12,2.24,FALSE
Bernardo Maia,2,Francisto Chagas,9.55,8.41,5,0,FALSE
Davi Maia,1,Antonio Prado,3.54,07.01,25,8.14,FALSE
Heitor Silva,1,Pedro I,8.38,4.0,22,1.32,TRUE
Theo Souza,1,Pedro I,5.21,1.44,4,3.74,FALSE
Theo Alves,3,Gabriel Gomes,0.3,6.36,7,02.02,TRUE
Laura Ferreira,3,Gabriel Gomes,7.15,7.81,22,0,TRUE
Sophia Pereira,3,Gabriel Gomes,1.0,1.93,15,3.61,FALSE
Heitor Soares,3,Pedro I,3.23,0.66,16,3.24,TRUE
Gael Oliveira,1,Carlos Santos,9.88,2.25,4,6.66,TRUE
Gael Soares,2,Pedro I,2.3,4.95,14,7.49,FALSE
Laura Silva,1,Carlos Santos,3.34,9.67,7,01.07,TRUE
Gael Souza,2,Pedro II,8.91,8.7,3,0,FALSE
Alice Rodrigues,3,Francisto Chagas,9.92,06.05,22,0,FALSE
Theo Alves,1,Pedro II,0.65,0.89,24,6.51,TRUE
Gael Ferreira,2,Pedro I,2.55,5.34,27,9.94,TRUE
Theo Alves,3,Antonio Prado,0.51,3.14,27,3.62,TRUE
Alice Alves,2,Antonio Prado,3.86,7.41,25,5.18,TRUE
Miguel Santos,2,Francisto Chagas,7.83,6.59,4,0,FALSE
Valentina Santos,2,Antonio Prado,4.37,3.35,2,8.48,FALSE
Arthur Martins,1,Carlos Santos,4.15,2.23,28,0.07,FALSE
Maria Silva,3,Gabriel Gomes,0.28,0.78,7,9.36,TRUE
Maria Alves,2,Pedro I,2.9,5.73,6,0.82,TRUE
Davi Maia,2,Francisto Chagas,1.77,0.88,18,3.98,FALSE
Laura Santos,2,Gabriel Gomes,4.68,04.05,11,8.79,FALSE
Bernardo Alves,3,Pedro I,4.99,02.07,17,8.96,TRUE
Gabriel Santos,1,Gabriel Gomes,1.6,8.83,4,3.92,FALSE
Laura Alves,2,Carlos Santos,8.3,3.34,18,4.1,TRUE
Miguel Soares,1,Pedro I,4.24,2.43,25,4.57,FALSE
Gael Santos,2,Carlos Santos,4.79,6.15,30,5.32,FALSE
Theo Alves,3,Pedro I,04.08,2.46,8,3.96,TRUE
Gabriel Silva,3,Antonio Prado,3.9,1.51,25,3.47,FALSE
Heloisa Martins,2,Antonio Prado,7.22,4.31,3,9.89,TRUE
Alice Silva,3,Antonio Prado,8.73,6.54,30,0,TRUE
Maria Ferreira,3,Antonio Prado,06.06,3.32,17,9.73,TRUE
Arthur Oliveira,2,Francisto Chagas,2.51,4.54,10,1.62,TRUE
Gabriel Martins,3,Carlos Santos,8.14,0.62,29,8.63,FALSE
Alice Santos,3,Antonio Prado,6.78,2.3,24,2.54,FALSE
Arthur Alves,1,Antonio Prado,6.52,7.32,15,1.71,FALSE
Gabriel Pereira,2,Antonio Prado,4.49,2.86,29,9.86,FALSE
Gael Alves,3,Antonio Prado,7.68,5.68,18,2.89,FALSE
Helena Silva,3,Gabriel Gomes,3.27,05.03,0,1.66,TRUE
Davi Soares,3,Pedro II,1.53,1.15,16,8.9,TRUE
Gael Souza,2,Francisto Chagas,0.08,7.34,19,5.67,TRUE
Alice Silva,3,Gabriel Gomes,8.77,03.07,12,5.35,FALSE
Sophia Gomes,1,Francisto Chagas,01.05,4.95,22,5.87,TRUE
Heitor Silva,3,Carlos Santos,0.81,5.47,3,4.58,TRUE
Gabriel Pereira,1,Antonio Prado,0.27,6.58,10,9.39,TRUE
Theo Rodrigues,1,Antonio Prado,6.93,7.23,20,0,FALSE
Maria Martins,2,Pedro I,6.67,7.58,4,0,TRUE
Davi Oliveira,3,Gabriel Gomes,4.7,5.56,16,8.57,TRUE
Heloisa Ferreira,1,Carlos Santos,2.99,4.41,25,5.54,FALSE
Davi Alves,3,Antonio Prado,5.61,8.66,6,0,TRUE
Heitor Santos,1,Francisto Chagas,07.09,0.15,10,3.97,FALSE
Arthur Ribeiro,1,Pedro II,07.04,4.57,1,04.04,TRUE
Valentina Soares,2,Francisto Chagas,9.66,0.57,17,3.76,FALSE
Gael Ferreira,2,Antonio Prado,7.33,4.17,5,3.53,FALSE
Gael Maia,3,Francisto Chagas,2.58,0.4,7,4.32,TRUE
Heloisa Maia,2,Pedro II,0.15,5.79,18,6.86,TRUE
Valentina Alves,1,Carlos Santos,6.54,6.3,16,2.42,TRUE
Sophia Souza,2,Pedro II,1.33,4.89,9,1.55,FALSE
Arthur Oliveira,3,Pedro II,08.06,7.34,6,0,FALSE
Gabriel Gomes,2,Gabriel Gomes,8.77,4.89,24,2.24,FALSE
Samuel Silva,3,Pedro II,7.83,7.19,24,0,TRUE
Heloisa Pereira,3,Francisto Chagas,9.33,6.53,1,0,FALSE
Miguel Gomes,1,Gabriel Gomes,3.83,1.71,13,2.33,FALSE
Miguel Oliveira,2,Francisto Chagas,6.52,6.48,5,8.49,TRUE
Valentina Souza,1,Pedro I,5.94,7.77,28,7.71,FALSE
Sophia Martins,1,Antonio Prado,02.07,0.71,24,3.16,FALSE
